source,value,target,town
Total Spending,224105,Other Public Safety,Uxbridge
Total Spending,26110333,Education,Uxbridge
Total Spending,2755262,Public Works,Uxbridge
Total Spending,659124,Human Services,Uxbridge
Total Spending,463810,Culture and Recreation,Uxbridge
Total Spending,9295236,Fixed Costs,Uxbridge
Total Spending,893796,Intergovernmental Assessments,Uxbridge
Total Spending,0,Other Expenditures,Uxbridge
Total Spending,2221337,Debt Service,Uxbridge
Residential Levy,70538602.44,Tax Levy,Wakefield
Open Space Levy,0,Tax Levy,Wakefield
Commercial Levy,10878901.75,Tax Levy,Wakefield
Industrial Levy,2026329.97,Tax Levy,Wakefield
Personal Prop Levy,3225172.45,Tax Levy,Wakefield
Tax Levy,86669006.61,Total Revenue,Wakefield
State Aid,12477647,Total Revenue,Wakefield
Local Receipts,9595370,Total Revenue,Wakefield
Enterprise & CPA Funds,17696698,Total Revenue,Wakefield
Other Revenue,4736271,Total Revenue,Wakefield
Total Revenue,103629894,Total Spending,Wakefield
Total Revenue,27545098.61,Budget Surplus,Wakefield
Budget Defecit,0,Total Spending,Wakefield
Total Spending,2689628,General Government,Wakefield
Total Spending,6961780,Police,Wakefield
Total Spending,6426518,Fire,Wakefield
Total Spending,633389,Other Public Safety,Wakefield
Total Spending,51129245,Education,Wakefield
Total Spending,11247681,Public Works,Wakefield
Total Spending,716905,Human Services,Wakefield
Total Spending,2034298,Culture and Recreation,Wakefield
Total Spending,19747304,Fixed Costs,Wakefield
Total Spending,2043146,Intergovernmental Assessments,Wakefield
Total Spending,0,Other Expenditures,Wakefield
Total Spending,0,Debt Service,Wakefield
Residential Levy,3365269.5,Tax Levy,Wales
Open Space Levy,0,Tax Levy,Wales
Commercial Levy,62512.02,Tax Levy,Wales
Industrial Levy,24902.99,Tax Levy,Wales
Personal Prop Levy,217699.9,Tax Levy,Wales
Tax Levy,3670384.41,Total Revenue,Wales
State Aid,1569157,Total Revenue,Wales
Local Receipts,359640.02,Total Revenue,Wales
Enterprise & CPA Funds,0,Total Revenue,Wales
Other Revenue,396702,Total Revenue,Wales
Total Revenue,5226905,Total Spending,Wales
Total Revenue,768978.4299999997,Budget Surplus,Wales
Budget Defecit,0,Total Spending,Wales
Total Spending,434950,General Government,Wales
Total Spending,132108,Police,Wales
Total Spending,176789,Fire,Wales
Total Spending,116506,Other Public Safety,Wales
Total Spending,2806074,Education,Wales
Total Spending,469126,Public Works,Wales
Total Spending,129693,Human Services,Wales
Total Spending,63306,Culture and Recreation,Wales
Total Spending,705619,Fixed Costs,Wales
Total Spending,138758,Intergovernmental Assessments,Wales
Total Spending,0,Other Expenditures,Wales
Total Spending,53976,Debt Service,Wales
Residential Levy,74488064.44,Tax Levy,Walpole
Open Space Levy,0,Tax Levy,Walpole
Commercial Levy,5880582.9,Tax Levy,Walpole
Industrial Levy,4280829.94,Tax Levy,Walpole
Personal Prop Levy,3669194.19,Tax Levy,Walpole
Tax Levy,88318671.47,Total Revenue,Walpole
State Aid,11947607,Total Revenue,Walpole
Local Receipts,7931000,Total Revenue,Walpole
Enterprise & CPA Funds,13133055,Total Revenue,Walpole
Other Revenue,11693686.59,Total Revenue,Walpole
Total Revenue,111692783,Total Spending,Walpole
Total Revenue,21331237.060000002,Budget Surplus,Walpole
Budget Defecit,0,Total Spending,Walpole
Total Spending,5805392,General Government,Walpole
Total Spending,6944308,Police,Walpole
Total Spending,5660361,Fire,Walpole
Total Spending,631558,Other Public Safety,Walpole
Total Spending,54627154,Education,Walpole
Total Spending,7015360,Public Works,Walpole
Total Spending,785378,Human Services,Walpole
Total Spending,2129174,Culture and Recreation,Walpole
Total Spending,18683383,Fixed Costs,Walpole
Total Spending,1644500,Intergovernmental Assessments,Walpole
Total Spending,1268226,Other Expenditures,Walpole
Total Spending,6497989,Debt Service,Walpole
Residential Levy,84737285.36,Tax Levy,Waltham
Open Space Levy,0,Tax Levy,Waltham
Commercial Levy,98712237,Tax Levy,Waltham
Industrial Levy,18231353.22,Tax Levy,Waltham
Personal Prop Levy,14169648.44,Tax Levy,Waltham
Tax Levy,215850524.02,Total Revenue,Waltham
State Aid,30459307,Total Revenue,Waltham
Local Receipts,30020000,Total Revenue,Waltham
Enterprise & CPA Funds,46948630.42,Total Revenue,Waltham
Other Revenue,8231668.58,Total Revenue,Waltham
Total Revenue,223303036,Total Spending,Waltham
Total Revenue,108207094.01999998,Budget Surplus,Waltham
Budget Defecit,0,Total Spending,Waltham
Total Spending,13630761,General Government,Waltham
Total Spending,19722996,Police,Waltham
Total Spending,20354631,Fire,Waltham
Total Spending,4191316,Other Public Safety,Waltham
Total Spending,97559714,Education,Waltham
Total Spending,16033839,Public Works,Waltham
Total Spending,2478031,Human Services,Waltham
Total Spending,4486026,Culture and Recreation,Waltham
Total Spending,24103980,Fixed Costs,Waltham
Total Spending,2300229,Intergovernmental Assessments,Waltham
Total Spending,11909,Other Expenditures,Waltham
Total Spending,18429604,Debt Service,Waltham
Residential Levy,14458605.4,Tax Levy,Ware
Open Space Levy,0,Tax Levy,Ware
Commercial Levy,1461496.71,Tax Levy,Ware
Industrial Levy,473353.77,Tax Levy,Ware
Personal Prop Levy,525535.66,Tax Levy,Ware
Tax Levy,16918991.54,Total Revenue,Ware
State Aid,14880665,Total Revenue,Ware
Local Receipts,2842762.95,Total Revenue,Ware
Enterprise & CPA Funds,3193470,Total Revenue,Ware
Other Revenue,3096469.26,Total Revenue,Ware
Total Revenue,34021396,Total Spending,Ware
Total Revenue,6910962.75,Budget Surplus,Ware
Budget Defecit,0,Total Spending,Ware
Total Spending,1563149,General Government,Ware
Total Spending,1859056,Police,Ware
Total Spending,1343802,Fire,Ware
Total Spending,706638,Other Public Safety,Ware
Total Spending,16760793,Education,Ware
Total Spending,1347745,Public Works,Ware
Total Spending,605133,Human Services,Ware
Total Spending,680318,Culture and Recreation,Ware
Total Spending,6891127,Fixed Costs,Ware
Total Spending,1432089,Intergovernmental Assessments,Ware
Total Spending,0,Other Expenditures,Ware
Total Spending,831546,Debt Service,Ware
Residential Levy,41238378.72,Tax Levy,Wareham
Open Space Levy,0,Tax Levy,Wareham
Commercial Levy,4125481.57,Tax Levy,Wareham
Industrial Levy,867023.87,Tax Levy,Wareham
Personal Prop Levy,2226992.68,Tax Levy,Wareham
Tax Levy,48457876.84,Total Revenue,Wareham
State Aid,18202704,Total Revenue,Wareham
Local Receipts,8196418,Total Revenue,Wareham
Enterprise & CPA Funds,12142640.1,Total Revenue,Wareham
Other Revenue,3585840,Total Revenue,Wareham
Total Revenue,74601162,Total Spending,Wareham
Total Revenue,15984316.939999998,Budget Surplus,Wareham
Budget Defecit,0,Total Spending,Wareham
Total Spending,4317975,General Government,Wareham
Total Spending,6366659,Police,Wareham
Total Spending,0,Fire,Wareham
Total Spending,1163272,Other Public Safety,Wareham
Total Spending,35587377,Education,Wareham
Total Spending,3793536,Public Works,Wareham
Total Spending,620962,Human Services,Wareham
Total Spending,361770,Culture and Recreation,Wareham
Total Spending,13932696,Fixed Costs,Wareham
Total Spending,5971438,Intergovernmental Assessments,Wareham
Total Spending,585942,Other Expenditures,Wareham
Total Spending,1899535,Debt Service,Wareham
Residential Levy,7148475.13,Tax Levy,Warren
Open Space Levy,0,Tax Levy,Warren
Commercial Levy,198561.97,Tax Levy,Warren
Industrial Levy,206991.06,Tax Levy,Warren
Personal Prop Levy,863078.79,Tax Levy,Warren
Tax Levy,8417106.95,Total Revenue,Warren
State Aid,1175530,Total Revenue,Warren
Local Receipts,1141094,Total Revenue,Warren
Enterprise & CPA Funds,861730.28,Total Revenue,Warren
Other Revenue,1347121.85,Total Revenue,Warren
Total Revenue,10415717,Total Spending,Warren
Total Revenue,2526866.079999998,Budget Surplus,Warren
Budget Defecit,0,Total Spending,Warren
Total Spending,975150,General Government,Warren
Total Spending,910883,Police,Warren
Total Spending,537677,Fire,Warren
Total Spending,507272,Other Public Safety,Warren
Total Spending,4781758,Education,Warren
Total Spending,832989,Public Works,Warren
Total Spending,259810,Human Services,Warren
Total Spending,265568,Culture and Recreation,Warren
Total Spending,1132184,Fixed Costs,Warren
Total Spending,11793,Intergovernmental Assessments,Warren
Total Spending,39361,Other Expenditures,Warren
Total Spending,161272,Debt Service,Warren
Residential Levy,1696113.2,Tax Levy,Warwick
Open Space Levy,0,Tax Levy,Warwick
Commercial Levy,29117.37,Tax Levy,Warwick
Industrial Levy,0,Tax Levy,Warwick
Personal Prop Levy,113994.5,Tax Levy,Warwick
Tax Levy,1839225.07,Total Revenue,Warwick
State Aid,296977,Total Revenue,Warwick
Local Receipts,96000,Total Revenue,Warwick
Enterprise & CPA Funds,196500,Total Revenue,Warwick
Other Revenue,85973,Total Revenue,Warwick
Total Revenue,2119923,Total Spending,Warwick
Total Revenue,394752.0700000003,Budget Surplus,Warwick
Budget Defecit,0,Total Spending,Warwick
Total Spending,324760,General Government,Warwick
Total Spending,78051,Police,Warwick
Total Spending,50949,Fire,Warwick
Total Spending,59044,Other Public Safety,Warwick
Total Spending,933918,Education,Warwick
Total Spending,432296,Public Works,Warwick
Total Spending,7078,Human Services,Warwick
Total Spending,37622,Culture and Recreation,Warwick
Total Spending,190584,Fixed Costs,Warwick
Total Spending,4642,Intergovernmental Assessments,Warwick
Total Spending,0,Other Expenditures,Warwick
Total Spending,979,Debt Service,Warwick
Residential Levy,1493213.32,Tax Levy,Washington
Open Space Levy,0,Tax Levy,Washington
Commercial Levy,42565.78,Tax Levy,Washington
Industrial Levy,4351.58,Tax Levy,Washington
Personal Prop Levy,43181.14,Tax Levy,Washington
Tax Levy,1583311.82,Total Revenue,Washington
State Aid,232223,Total Revenue,Washington
Local Receipts,315850,Total Revenue,Washington
Enterprise & CPA Funds,0,Total Revenue,Washington
Other Revenue,125505,Total Revenue,Washington
Total Revenue,2034323,Total Spending,Washington
Total Revenue,222566.8200000003,Budget Surplus,Washington
Budget Defecit,0,Total Spending,Washington
Total Spending,196768,General Government,Washington
Total Spending,24428,Police,Washington
Total Spending,26901,Fire,Washington
Total Spending,4306,Other Public Safety,Washington
Total Spending,991499,Education,Washington
Total Spending,559009,Public Works,Washington
Total Spending,14543,Human Services,Washington
Total Spending,23704,Culture and Recreation,Washington
Total Spending,121844,Fixed Costs,Washington
Total Spending,426,Intergovernmental Assessments,Washington
Total Spending,0,Other Expenditures,Washington
Total Spending,70895,Debt Service,Washington
Residential Levy,87792543.48,Tax Levy,Watertown
Open Space Levy,0,Tax Levy,Watertown
Commercial Levy,21697640.74,Tax Levy,Watertown
Industrial Levy,28893333.13,Tax Levy,Watertown
Personal Prop Levy,5646453.31,Tax Levy,Watertown
Tax Levy,144029970.66,Total Revenue,Watertown
State Aid,14558387,Total Revenue,Watertown
Local Receipts,13260714,Total Revenue,Watertown
Enterprise & CPA Funds,24282766,Total Revenue,Watertown
Other Revenue,16574517,Total Revenue,Watertown
Total Revenue,141753205,Total Spending,Watertown
Total Revenue,70953149.66,Budget Surplus,Watertown
Budget Defecit,0,Total Spending,Watertown
Total Spending,7484384,General Government,Watertown
Total Spending,10335451,Police,Watertown
Total Spending,11626940,Fire,Watertown
Total Spending,11676,Other Public Safety,Watertown
Total Spending,58065687,Education,Watertown
Total Spending,11926471,Public Works,Watertown
Total Spending,1278667,Human Services,Watertown
Total Spending,4371071,Culture and Recreation,Watertown
Total Spending,15314485,Fixed Costs,Watertown
Total Spending,3203519,Intergovernmental Assessments,Watertown
Total Spending,703214,Other Expenditures,Watertown
Total Spending,17431640,Debt Service,Watertown
Residential Levy,76690882.52,Tax Levy,Wayland
Open Space Levy,0,Tax Levy,Wayland
Commercial Levy,2400089.01,Tax Levy,Wayland
Industrial Levy,81465.12,Tax Levy,Wayland
Personal Prop Levy,1040776.52,Tax Levy,Wayland
Tax Levy,80213213.17,Total Revenue,Wayland
State Aid,7360922,Total Revenue,Wayland
Local Receipts,5300000,Total Revenue,Wayland
Enterprise & CPA Funds,8445835,Total Revenue,Wayland
Other Revenue,4648882,Total Revenue,Wayland
Total Revenue,90387221,Total Spending,Wayland
Total Revenue,15581631.170000002,Budget Surplus,Wayland
Budget Defecit,0,Total Spending,Wayland
Total Spending,5590609,General Government,Wayland
Total Spending,3345462,Police,Wayland
Total Spending,3783179,Fire,Wayland
Total Spending,1112702,Other Public Safety,Wayland
Total Spending,47727825,Education,Wayland
Total Spending,3447968,Public Works,Wayland
Total Spending,1677472,Human Services,Wayland
Total Spending,1483895,Culture and Recreation,Wayland
Total Spending,15951913,Fixed Costs,Wayland
Total Spending,147158,Intergovernmental Assessments,Wayland
Total Spending,112910,Other Expenditures,Wayland
Total Spending,6006128,Debt Service,Wayland
Residential Levy,24330608.93,Tax Levy,Webster
Open Space Levy,0,Tax Levy,Webster
Commercial Levy,3041121.51,Tax Levy,Webster
Industrial Levy,452538.31,Tax Levy,Webster
Personal Prop Levy,745979.88,Tax Levy,Webster
Tax Levy,28570248.63,Total Revenue,Webster
State Aid,20286228,Total Revenue,Webster
Local Receipts,4121654,Total Revenue,Webster
Enterprise & CPA Funds,9257488,Total Revenue,Webster
Other Revenue,3827836,Total Revenue,Webster
Total Revenue,52018312,Total Spending,Webster
Total Revenue,14045142.629999995,Budget Surplus,Webster
Budget Defecit,0,Total Spending,Webster
Total Spending,2396190,General Government,Webster
Total Spending,3943583,Police,Webster
Total Spending,783624,Fire,Webster
Total Spending,431462,Other Public Safety,Webster
Total Spending,26308788,Education,Webster
Total Spending,1451291,Public Works,Webster
Total Spending,455654,Human Services,Webster
Total Spending,561487,Culture and Recreation,Webster
Total Spending,10741807,Fixed Costs,Webster
Total Spending,2103346,Intergovernmental Assessments,Webster
Total Spending,0,Other Expenditures,Webster
Total Spending,2841080,Debt Service,Webster
Residential Levy,146836231.25,Tax Levy,Wellesley
Open Space Levy,0,Tax Levy,Wellesley
Commercial Levy,19469912.05,Tax Levy,Wellesley
Industrial Levy,84249.1,Tax Levy,Wellesley
Personal Prop Levy,1742826.26,Tax Levy,Wellesley
Tax Levy,168133218.66,Total Revenue,Wellesley
State Aid,11310843,Total Revenue,Wellesley
Local Receipts,9620961,Total Revenue,Wellesley
Enterprise & CPA Funds,23822492,Total Revenue,Wellesley
Other Revenue,22728580,Total Revenue,Wellesley
Total Revenue,181155400,Total Spending,Wellesley
Total Revenue,54460694.66,Budget Surplus,Wellesley
Budget Defecit,0,Total Spending,Wellesley
Total Spending,15633350,General Government,Wellesley
Total Spending,7363978,Police,Wellesley
Total Spending,6857002,Fire,Wellesley
Total Spending,680549,Other Public Safety,Wellesley
Total Spending,82260312,Education,Wellesley
Total Spending,10778758,Public Works,Wellesley
Total Spending,1650367,Human Services,Wellesley
Total Spending,3395363,Culture and Recreation,Wellesley
Total Spending,28534864,Fixed Costs,Wellesley
Total Spending,1330131,Intergovernmental Assessments,Wellesley
Total Spending,162354,Other Expenditures,Wellesley
Total Spending,22508372,Debt Service,Wellesley
Residential Levy,22414228.23,Tax Levy,Wellfleet
Open Space Levy,0,Tax Levy,Wellfleet
Commercial Levy,640856.04,Tax Levy,Wellfleet
Industrial Levy,8037.86,Tax Levy,Wellfleet
Personal Prop Levy,309674.01,Tax Levy,Wellfleet
Tax Levy,23372796.14,Total Revenue,Wellfleet
State Aid,424192,Total Revenue,Wellfleet
Local Receipts,2788792,Total Revenue,Wellfleet
Enterprise & CPA Funds,1651668,Total Revenue,Wellfleet
Other Revenue,2510043.23,Total Revenue,Wellfleet
Total Revenue,25597494,Total Spending,Wellfleet
Total Revenue,5149997.370000001,Budget Surplus,Wellfleet
Budget Defecit,0,Total Spending,Wellfleet
Total Spending,2816346,General Government,Wellfleet
Total Spending,2073851,Police,Wellfleet
Total Spending,2584423,Fire,Wellfleet
Total Spending,764787,Other Public Safety,Wellfleet
Total Spending,6414143,Education,Wellfleet
Total Spending,2579653,Public Works,Wellfleet
Total Spending,788412,Human Services,Wellfleet
Total Spending,1623399,Culture and Recreation,Wellfleet
Total Spending,3347937,Fixed Costs,Wellfleet
Total Spending,550132,Intergovernmental Assessments,Wellfleet
Total Spending,14576,Other Expenditures,Wellfleet
Total Spending,2039835,Debt Service,Wellfleet
Residential Levy,2188494.87,Tax Levy,Wendell
Open Space Levy,0,Tax Levy,Wendell
Commercial Levy,89421.16,Tax Levy,Wendell
Industrial Levy,23610.95,Tax Levy,Wendell
Personal Prop Levy,376772.3,Tax Levy,Wendell
Tax Levy,2678299.28,Total Revenue,Wendell
State Aid,485957,Total Revenue,Wendell
Local Receipts,210169.42,Total Revenue,Wendell
Enterprise & CPA Funds,506530,Total Revenue,Wendell
Other Revenue,1085208.63,Total Revenue,Wendell
Total Revenue,3647513,Total Spending,Wendell
Total Revenue,1318651.33,Budget Surplus,Wendell
Budget Defecit,0,Total Spending,Wendell
Total Spending,389654,General Government,Wendell
Total Spending,49820,Police,Wendell
Total Spending,88515,Fire,Wendell
Total Spending,59410,Other Public Safety,Wendell
Total Spending,2018356,Education,Wendell
Total Spending,698018,Public Works,Wendell
Total Spending,29257,Human Services,Wendell
Total Spending,61823,Culture and Recreation,Wendell
Total Spending,131318,Fixed Costs,Wendell
Total Spending,0,Intergovernmental Assessments,Wendell
Total Spending,2926,Other Expenditures,Wendell
Total Spending,118416,Debt Service,Wendell
Residential Levy,19396813.71,Tax Levy,Wenham
Open Space Levy,0,Tax Levy,Wenham
Commercial Levy,192541.17,Tax Levy,Wenham
Industrial Levy,25539.2,Tax Levy,Wenham
Personal Prop Levy,169209.31,Tax Levy,Wenham
Tax Levy,19784103.39,Total Revenue,Wenham
State Aid,524843,Total Revenue,Wenham
Local Receipts,2192708,Total Revenue,Wenham
Enterprise & CPA Funds,3607553.33,Total Revenue,Wenham
Other Revenue,690925,Total Revenue,Wenham
Total Revenue,21335554,Total Spending,Wenham
Total Revenue,5464578.719999999,Budget Surplus,Wenham
Budget Defecit,0,Total Spending,Wenham
Total Spending,1504117,General Government,Wenham
Total Spending,1648151,Police,Wenham
Total Spending,746837,Fire,Wenham
Total Spending,213819,Other Public Safety,Wenham
Total Spending,11888148,Education,Wenham
Total Spending,1387489,Public Works,Wenham
Total Spending,185416,Human Services,Wenham
Total Spending,1107733,Culture and Recreation,Wenham
Total Spending,1990367,Fixed Costs,Wenham
Total Spending,151002,Intergovernmental Assessments,Wenham
Total Spending,0,Other Expenditures,Wenham
Total Spending,512475,Debt Service,Wenham
Residential Levy,17360020.38,Tax Levy,West Boylston
Open Space Levy,0,Tax Levy,West Boylston
Commercial Levy,1130569.77,Tax Levy,West Boylston
Industrial Levy,949608.79,Tax Levy,West Boylston
Personal Prop Levy,1352174.46,Tax Levy,West Boylston
Tax Levy,20792373.4,Total Revenue,West Boylston
State Aid,4902634,Total Revenue,West Boylston
Local Receipts,2733580,Total Revenue,West Boylston
Enterprise & CPA Funds,2482103.53,Total Revenue,West Boylston
Other Revenue,3471380.2,Total Revenue,West Boylston
Total Revenue,27719079,Total Spending,West Boylston
Total Revenue,6662992.130000003,Budget Surplus,West Boylston
Budget Defecit,0,Total Spending,West Boylston
Total Spending,1181423,General Government,West Boylston
Total Spending,1853351,Police,West Boylston
Total Spending,1299099,Fire,West Boylston
Total Spending,313702,Other Public Safety,West Boylston
Total Spending,13365682,Education,West Boylston
Total Spending,2015773,Public Works,West Boylston
Total Spending,186859,Human Services,West Boylston
Total Spending,554844,Culture and Recreation,West Boylston
Total Spending,5332367,Fixed Costs,West Boylston
Total Spending,415122,Intergovernmental Assessments,West Boylston
Total Spending,254034,Other Expenditures,West Boylston
Total Spending,946823,Debt Service,West Boylston
Residential Levy,16280595.05,Tax Levy,West Bridgewater
Open Space Levy,0,Tax Levy,West Bridgewater
Commercial Levy,5642958,Tax Levy,West Bridgewater
Industrial Levy,5012381.22,Tax Levy,West Bridgewater
Personal Prop Levy,1430725.46,Tax Levy,West Bridgewater
Tax Levy,28366659.73,Total Revenue,West Bridgewater
State Aid,7646889,Total Revenue,West Bridgewater
Local Receipts,3218516.77,Total Revenue,West Bridgewater
Enterprise & CPA Funds,2621522,Total Revenue,West Bridgewater
Other Revenue,1878688,Total Revenue,West Bridgewater
Total Revenue,36842264,Total Spending,West Bridgewater
Total Revenue,6890011.500000007,Budget Surplus,West Bridgewater
Budget Defecit,0,Total Spending,West Bridgewater
Total Spending,1672415,General Government,West Bridgewater
Total Spending,3242155,Police,West Bridgewater
Total Spending,2577587,Fire,West Bridgewater
Total Spending,249055,Other Public Safety,West Bridgewater
Total Spending,16105670,Education,West Bridgewater
Total Spending,1905547,Public Works,West Bridgewater
Total Spending,493405,Human Services,West Bridgewater
Total Spending,502211,Culture and Recreation,West Bridgewater
Total Spending,6411477,Fixed Costs,West Bridgewater
Total Spending,894749,Intergovernmental Assessments,West Bridgewater
Total Spending,0,Other Expenditures,West Bridgewater
Total Spending,2787993,Debt Service,West Bridgewater
Residential Levy,6148476.95,Tax Levy,West Brookfield
Open Space Levy,0,Tax Levy,West Brookfield
Commercial Levy,210954.69,Tax Levy,West Brookfield
Industrial Levy,123338.97,Tax Levy,West Brookfield
Personal Prop Levy,362399.82,Tax Levy,West Brookfield
Tax Levy,6845170.43,Total Revenue,West Brookfield
State Aid,1036502,Total Revenue,West Brookfield
Local Receipts,1157329,Total Revenue,West Brookfield
Enterprise & CPA Funds,0,Total Revenue,West Brookfield
Other Revenue,1232050.44,Total Revenue,West Brookfield
Total Revenue,8433526,Total Spending,West Brookfield
Total Revenue,1837525.8699999992,Budget Surplus,West Brookfield
Budget Defecit,0,Total Spending,West Brookfield
Total Spending,687857,General Government,West Brookfield
Total Spending,702098,Police,West Brookfield
Total Spending,182807,Fire,West Brookfield
Total Spending,97511,Other Public Safety,West Brookfield
Total Spending,4500899,Education,West Brookfield
Total Spending,867521,Public Works,West Brookfield
Total Spending,157671,Human Services,West Brookfield
Total Spending,233446,Culture and Recreation,West Brookfield
Total Spending,867233,Fixed Costs,West Brookfield
Total Spending,1136,Intergovernmental Assessments,West Brookfield
Total Spending,12358,Other Expenditures,West Brookfield
Total Spending,122989,Debt Service,West Brookfield
Residential Levy,14930319.08,Tax Levy,West Newbury
Open Space Levy,0,Tax Levy,West Newbury
Commercial Levy,125008.17,Tax Levy,West Newbury
Industrial Levy,31293.21,Tax Levy,West Newbury
Personal Prop Levy,249969.03,Tax Levy,West Newbury
Tax Levy,15336589.49,Total Revenue,West Newbury
State Aid,438821,Total Revenue,West Newbury
Local Receipts,1389493.51,Total Revenue,West Newbury
Enterprise & CPA Funds,1706198,Total Revenue,West Newbury
Other Revenue,1588620.81,Total Revenue,West Newbury
Total Revenue,17108887,Total Spending,West Newbury
Total Revenue,3350835.8099999987,Budget Surplus,West Newbury
Budget Defecit,0,Total Spending,West Newbury
Total Spending,1163580,General Government,West Newbury
Total Spending,1242785,Police,West Newbury
Total Spending,275474,Fire,West Newbury
Total Spending,504095,Other Public Safety,West Newbury
Total Spending,9441244,Education,West Newbury
Total Spending,1842791,Public Works,West Newbury
Total Spending,336899,Human Services,West Newbury
Total Spending,441464,Culture and Recreation,West Newbury
Total Spending,1476343,Fixed Costs,West Newbury
Total Spending,86262,Intergovernmental Assessments,West Newbury
Total Spending,0,Other Expenditures,West Newbury
Total Spending,297950,Debt Service,West Newbury
Residential Levy,37791707.72,Tax Levy,West Springfield
Open Space Levy,0,Tax Levy,West Springfield
Commercial Levy,19474294.98,Tax Levy,West Springfield
Industrial Levy,3575009.94,Tax Levy,West Springfield
Personal Prop Levy,7544531.55,Tax Levy,West Springfield
Tax Levy,68385544.19,Total Revenue,West Springfield
State Aid,41096416,Total Revenue,West Springfield
Local Receipts,7257320.84,Total Revenue,West Springfield
Enterprise & CPA Funds,18441003.37,Total Revenue,West Springfield
Other Revenue,7255141.5,Total Revenue,West Springfield
Total Revenue,105583309,Total Spending,West Springfield
Total Revenue,36852116.900000006,Budget Surplus,West Springfield
Budget Defecit,0,Total Spending,West Springfield
Total Spending,10678160,General Government,West Springfield
Total Spending,8433817,Police,West Springfield
Total Spending,5782356,Fire,West Springfield
Total Spending,334278,Other Public Safety,West Springfield
Total Spending,48974532,Education,West Springfield
Total Spending,5166291,Public Works,West Springfield
Total Spending,1224617,Human Services,West Springfield
Total Spending,1785161,Culture and Recreation,West Springfield
Total Spending,10988295,Fixed Costs,West Springfield
Total Spending,4926686,Intergovernmental Assessments,West Springfield
Total Spending,84133,Other Expenditures,West Springfield
Total Spending,7204983,Debt Service,West Springfield
Residential Levy,5140972.79,Tax Levy,West Stockbridge
Open Space Levy,0,Tax Levy,West Stockbridge
Commercial Levy,165550.38,Tax Levy,West Stockbridge
Industrial Levy,27846.28,Tax Levy,West Stockbridge
Personal Prop Levy,156423.22,Tax Levy,West Stockbridge
Tax Levy,5490792.67,Total Revenue,West Stockbridge
State Aid,252184,Total Revenue,West Stockbridge
Local Receipts,484814,Total Revenue,West Stockbridge
Enterprise & CPA Funds,293317,Total Revenue,West Stockbridge
Other Revenue,410644,Total Revenue,West Stockbridge
Total Revenue,6198417,Total Spending,West Stockbridge
Total Revenue,733334.6699999999,Budget Surplus,West Stockbridge
Budget Defecit,0,Total Spending,West Stockbridge
Total Spending,590751,General Government,West Stockbridge
Total Spending,499244,Police,West Stockbridge
Total Spending,57630,Fire,West Stockbridge
Total Spending,93185,Other Public Safety,West Stockbridge
Total Spending,3268485,Education,West Stockbridge
Total Spending,717961,Public Works,West Stockbridge
Total Spending,42372,Human Services,West Stockbridge
Total Spending,73885,Culture and Recreation,West Stockbridge
Total Spending,439819,Fixed Costs,West Stockbridge
Total Spending,1929,Intergovernmental Assessments,West Stockbridge
Total Spending,159154,Other Expenditures,West Stockbridge
Total Spending,254002,Debt Service,West Stockbridge
Residential Levy,18202068.19,Tax Levy,West Tisbury
Open Space Levy,0,Tax Levy,West Tisbury
Commercial Levy,514522.95,Tax Levy,West Tisbury
Industrial Levy,73087.27,Tax Levy,West Tisbury
Personal Prop Levy,195763.13,Tax Levy,West Tisbury
Tax Levy,18985441.54,Total Revenue,West Tisbury
State Aid,1508057,Total Revenue,West Tisbury
Local Receipts,2040230,Total Revenue,West Tisbury
Enterprise & CPA Funds,1602000,Total Revenue,West Tisbury
Other Revenue,1196689.19,Total Revenue,West Tisbury
Total Revenue,22802170,Total Spending,West Tisbury
Total Revenue,2530247.7300000004,Budget Surplus,West Tisbury
Budget Defecit,0,Total Spending,West Tisbury
Total Spending,2102166,General Government,West Tisbury
Total Spending,1409330,Police,West Tisbury
Total Spending,441888,Fire,West Tisbury
Total Spending,1045838,Other Public Safety,West Tisbury
Total Spending,12625270,Education,West Tisbury
Total Spending,728062,Public Works,West Tisbury
Total Spending,546454,Human Services,West Tisbury
Total Spending,1072545,Culture and Recreation,West Tisbury
Total Spending,1565706,Fixed Costs,West Tisbury
Total Spending,345830,Intergovernmental Assessments,West Tisbury
Total Spending,0,Other Expenditures,West Tisbury
Total Spending,919081,Debt Service,West Tisbury
Residential Levy,62589543.7,Tax Levy,Westborough
Open Space Levy,0,Tax Levy,Westborough
Commercial Levy,10260654.61,Tax Levy,Westborough
Industrial Levy,10222847.37,Tax Levy,Westborough
Personal Prop Levy,5877459.23,Tax Levy,Westborough
Tax Levy,88950504.91,Total Revenue,Westborough
State Aid,15708631,Total Revenue,Westborough
Local Receipts,17583995.67,Total Revenue,Westborough
Enterprise & CPA Funds,9121411,Total Revenue,Westborough
Other Revenue,8167883.12,Total Revenue,Westborough
Total Revenue,118752133,Total Spending,Westborough
Total Revenue,20780292.699999988,Budget Surplus,Westborough
Budget Defecit,0,Total Spending,Westborough
Total Spending,3970403,General Government,Westborough
Total Spending,4353948,Police,Westborough
Total Spending,5792536,Fire,Westborough
Total Spending,813312,Other Public Safety,Westborough
Total Spending,62603465,Education,Westborough
Total Spending,5135509,Public Works,Westborough
Total Spending,944130,Human Services,Westborough
